name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Michael McGovern,GK,Norwich,-0.5,0,0,0,0,0.0,313,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,20,0,0,0,0,13,0,53655,0,0,0.0,0,-303,729,1032,40,True,0,13
Michael Obafemi,FWD,Southampton,0.0,0,0,0,0,0.0,348,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,11,0,0,0,0,13,0,268371,0,4,0.0,0,-9480,0,9480,45,False,0,13
Michael Olise,MID,Crystal Palace,1.5,0,0,5,0,11.1,464,126,2,0,2.1,3.6,2021-11-27T15:00:00Z,86,2,0,0,0,0,13,0,7011,2,1,6.0,2,-934,434,1368,54,True,0,13
Michail Antonio,FWD,West Ham,1.5,0,0,0,0,1.1,413,129,2,0,1.2,2.8,2021-11-28T14:00:00Z,90,12,0,0,0,0,13,0,3852686,1,2,8.0,2,-333147,61659,394806,81,False,0,13
Michal Karbownik,DEF,Brighton,0.0,0,0,0,0,0.0,536,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,10,0,0,0,0,13,0,3471,0,0,0.0,0,-69,0,69,40,True,0,13
Michy Batshuayi,FWD,Chelsea,0.0,0,0,0,0,0.0,126,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,13,0,0,0,0,13,0,4706,1,1,0.0,0,-37,0,37,55,True,0,13
Miguel Almirón,MID,Newcastle,0.0,0,0,3,0,12.0,308,121,0,0,1.5,3.0,2021-11-27T12:30:00Z,23,1,0,0,0,0,13,0,22484,0,2,0.0,1,-1363,596,1959,52,False,0,13
Milot Rashica,MID,Norwich,2.5,0,0,10,1,40.8,449,130,0,0,6.7,12.6,2021-11-27T15:00:00Z,81,20,0,0,0,0,13,0,10898,0,0,14.0,3,465,1248,783,52,True,0,13
Mohamed Naser El Sayed Elneny,MID,Arsenal,1.8,0,0,4,0,10.3,12,121,0,0,1.3,2.2,2021-11-27T12:30:00Z,5,14,0,0,0,0,13,0,30158,0,2,0.0,1,592,1818,1226,44,True,0,13
Mohamed Elyounoussi,MID,Southampton,0.8,0,0,0,0,0.0,517,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,11,0,0,0,0,13,0,13637,0,4,0.0,0,-1837,533,2370,55,False,0,13
